OOC,TON,AIM,statute,OOC_new
eis for construction,other,challenge departmental action,nepa,conservation
eis for gasco proposed action,river%forest%clean air,require updated environmental assesment,"flpma, nepa",conservation
eis for highway construction,other-environmental,stop highway construction,nepa,conservation
eis for paint factory,other-environmental,stop land sale,nepa,conservation
eis on river development,river,prove violation of nepa,nepa,conservation
eis regarding construction project,clean air,stop air pollution%limit emission standards,"caa, esa, nepa",conservation
eis regarding railroad project in eel river canyon,river%fauna,recover costs,nepa,conservation
eis statements,forest,add evidence,"nepa, nfma",conservation
eis%nepa violation,open space,stop highway expansion project,nepa,conservation
eis%special use permits%construction for transmisison line,flora%fauna%forest%lake%river,appeal decision%stop construction efforts,"wsra, nepa, national park service organic act",conservation
elephant ivory,fauna,challenge constitutionality of new york state law preventing the sale of ivory,esa,conservation
elephant tusks,charismatic fuana,charge with violation,"esa, lacey act",conservation
elk mountain road project,forest,stop construction,nepa,conservation
emission standards for light trucks,clean air,request documents,magnuson-stevens act,conservation
endagered species classification,fauna,force departmental action,"esa, nfma",conservation
endangered bird habitat,fauna%river,stop closing of water gates,esa,conservation
endangered humpback whale in the fisherman's fishing gear,sea,determine liability,esa,conservation
endangered species,fauna,economic harms,"esa, nepa",conservation
endangered species,fauna,protect species,"esa, nepa",conservation
endangered species,fauna,challenge department action,esa,conservation
endangered species,fauna,stop trial,esa,conservation
endangered species classification,fauna,challenge departmental action,"esa, nepa",conservation
endangered species classification,fauna,protect species,esa,conservation
endangered species designation,charismatic fauna,challenge departmental action,"nepa, esa",conservation
endangered species designation,fauna,challenge departmental action,"esa, nepa",conservation
endangered species habitat,open space%fauna,stop pipeline,"esa, cwa",conservation
endangered species listing,fauna,endangered species listing,esa,conservation
endangered species status,fauna,protection of species,esa,conservation
endangered species status of wolf,fauna,protection of species%challenge decision,"esa, nepa",conservation
endangered species treatment,fauna,challenge departmental action,esa,conservation
endangered status of mollusks,fauna,delist species,esa,conservation
endgangered species' habitat,reservoir%critical habitat%fauna%charasmatic fauna,stop reservoir draining,"nepa, esa, fwca",conservation
enjoin helicopter logging,forest,deny reimbursement of costs,"cwa, esa, rcra, nepa, cwa",conservation
environmental assessment,forest,prevent extraction,"nfma, nepa, multiple-use sustained-yield act",conservation
environmental assessment,mining,judicial review,"nepa, esa",conservation
environmental assessment,ag-fauna,challenge departmental action,"nepa, cwa, esa",conservation
environmental assessment,open space%other-environmental,stop golf course construction,"nepa, cwa",conservation
environmental assessment findings,land%other environmental,challenge decision,nepa,conservation
environmental assessments,open space,stop drilling,nepa,conservation
environmental damages from construction of water channels,river%bay%marshland%bayou%gulf,stop construction,"nepa, cwa, fwca, esa",conservation
environmental impact assesment necessity,river,claim violation of nepa,nepa,conservation
environmental impact of construction on surrounding area,wetlands%other-environmental,cease construction of higway,nepa,conservation
environmental impact of hud development,other,challenge ruling,nepa,conservation
environmental impact of project,ocean%fauna,prove violation of nepa,"nepa, esa, cwa, fifra",conservation
environmental impact statement,forest,stop construction,"nepa, nfma",conservation
environmental impact statement,toxic substances,force environmental impact statement,nepa,conservation
environmental impact statement and dam,river,stop eis,"nepa, wsra",conservation
environmental impact statement for land in umpqua national forest,forest%other-environmental,prove nepa violation,"nepa, esa",conservation
environmental impact statement for timber extraction practices,fauna%flora%forest,revise timber extraction plan,nfma,conservation
environmental impact statement on stonewall jackson lake project,lake%other-environmental,cease building of dam,nepa,conservation
environmental impact statement%forest management plan,forest,stop regulation,"nepa, nfma",conservation
environmental impact statements,river,prove violation of endangered species act,"nepa, esa",conservation
environmental impact statements,river,prove violation of nepa,"nepa, cwa, national park service organic act",conservation
environmental impact statements for new forest projects,forest%fauna,cease new forest management plan,"nepa, nfma",conservation
environmental regulations violations,other-environmental,stop operation of unauthorized facilities,"cwa, nepa, czma",conservation
environmental review,flora%forest,stop project,"nepa, flpma",conservation
epa's lack of investigations,fauna,dismissal of case,"cercla, esa, wilderness act",conservation
erosion control improvements,lake,challenge authority,"cwa, rivers and harbors act",conservation
esa,fauna,ensure compliance with laws,"nepa, esa",conservation
esa,fauna,protect the utah prarie dog,esa,conservation
esa coverage of canada lynx,fauna,stop the taking of canada lynx,esa,conservation
esa listing,fauna,challenge a listing decision,esa,conservation
esa listing petition,fauna,enforce compliance,esa,conservation
esa violation,fauna,protect species,esa,conservation
establishment of ctitical habitat,fauna,protection of falcon,"nepa, esa",conservation
establishment of manatee protection areas,fauna,protection of manatee,"esa, nepa, mmpa, cwa",conservation
establishment of wildlife refuge without environmental impact statement,open space%other-environmental,violation of nepa,nepa,conservation
everglades agricultural area,wetlands%marsh,stop construction,"nepa, cwa",conservation
evidence about northwest river,wetlands,dispute over evidence,cwa,conservation
executive order,national monument,motion to leave case,"antiquities act, nepa",conservation
expansion project,canal,stop construction,"nepa, cwa",conservation
extraction permits,forest%fauna,stop extraction,"nepa, nfma, mbta, multiple-use sustained-yield act",conservation
facility,land,stop construction,"nepa, caa",conservation
facility site,clean air,stop emissions,caa,conservation
failed to prepare an environmental impact statement,forest,stop construction,nepa,conservation
failing to comply with environmental laws,timber%forests,determine liability%start regulation,"nepa, nfma",conservation
failing to obtain preconstruction permits,air%pollution,recover compensation,caa,conservation
failure of agency to send documents,other-environmental,receive documents,esa,conservation
failure to complete environmental impact statement,open land%other-environmental,violation of nepa,"nepa, esa, mbta",conservation
failure to complete impact analysis for lynx,fauna,violation of endangered species act,"esa, nepa, nfma",conservation
failure to purchase%owl habitat,charismatic fauna,summary judgement,"flpma, esa",conservation
falcons,fauna,motion to intervene,"esa, mbta, nepa",conservation
fawn river state hatchery,river,seek damages,cwa,conservation
federal biological opinion,river,prevent future construction,"esa, nepa",conservation
federal columbia river power system,river,stop construction,"esa, fwca",conservation
federal decision to allow ranchers to determine which part of pubcli land can be utilized for cattle grazing,ag-fauna%flora%open space,stop overgrazing practices,"flpma, nepa",conservation
federal funds,property,stop project,nepa,conservation
federal highway,other-environmental,stop construction,nepa,conservation
federal property sale,property,stop sale,"nepa, nca",conservation
federal water project,water,stop intervenor,"cwa, nepa",conservation
